dong_code,dong_name,population,population_normalized
11110515,청운효자동,16255.49010471146,0.13252981365117833
11110530,사직동,24953.159691586257,0.22524265845286204
11110540,삼청동,6233.025451431784,0.025695310380083318
11110550,부암동,11495.622528385049,0.08179198560739276
11110560,평창동,17922.441236086474,0.15029868610505753
11110570,무악동,5836.176595287397,0.021465098362721487
11110580,교남동,7958.946024053547,0.044092767835927006
11110600,가회동,5800.728010820773,0.02108723403052692
11110615,종로1?2?3?4가동,60368.92286707223,0.602757131959302
11110630,종로5?6가동,13464.93067178103,0.10278383387682873
11110640,이화동,27769.657059372224,0.2552651237506864
11110650,혜화동,30105.09094922786,0.28015969092319937
11110670,창신1동,7682.348772736043,0.041144378295736805
11110680,창신2동,7465.30601348228,0.03883081010910559
11110690,창신3동,4195.413228813837,0.00397537449672095
11110700,숭인1동,8159.144005815382,0.046226779047470905
11110710,숭인2동,12012.657746682464,0.08730332464737542
11140520,소공동,25857.967743108344,0.23488746360649435
11140540,회현동,25846.718371260362,0.2347675508809256
11140550,명동,37609.836409670555,0.36015655608351066
11140570,필동,14307.223893485942,0.11176226194442067
11140580,장충동,11003.579018383958,0.07654704578497784
11140590,광희동,24252.446156420647,0.2177733996373416
11140605,을지로동,15429.430118215514,0.12372442382118845
11140615,신당동,19701.114290273836,0.1692584588555263
11140625,다산동,14982.13894490054,0.11895652171608964
11140635,약수동,13338.630910838825,0.10143754105462324
11140645,청구동,9447.011425572076,0.05995480711526856
11140650,신당5동,6482.299963926735,0.028352453073205997
11140665,동화동,12236.784367834593,0.08969240328910265
11140670,황학동,12235.73878061835,0.08968125784786257
11140680,중림동,8586.326310997347,0.0507803305898435
11170510,후암동,12553.010197606283,0.09306321382462229
11170520,용산2가동,12180.237561529695,0.08908964237428378
11170530,남영동,16515.35857598199,0.1352998826915237
11170555,청파동,21965.881283157647,0.19339975194857184
11170560,원효로1동,19025.136666563405,0.16205287259009138
11170570,원효로2동,14317.457328495415,0.11187134528707296
11170580,효창동,9532.295299704161,0.06086389092300784
11170590,용문동,7638.158918857864,0.040673336366229704
11170625,한강로동,51235.61626016257,0.5054006125474321
11170630,이촌1동,24787.17052824314,0.22347329628221632
11170640,이촌2동,7500.261111019131,0.039203414115338744
11170650,이태원1동,11687.869615199194,0.08384124422147861
11170660,이태원2동,10636.751065440187,0.07263684170898978
11170685,한남동,27077.53807200915,0.24788747855288257
11170690,서빙고동,14117.029935035942,0.10973488866059274
11170700,보광동,7218.2143200233795,0.03619693518449241
11200520,왕십리2동,14765.045684818278,0.11664241521566895
11200535,왕십리도선동,28545.48342383395,0.26353504807960537
11200540,마장동,18991.573515615743,0.16169510604426146
11200550,사근동,23705.010381824082,0.21193800574221694
11200560,행당1동,30536.209770417845,0.2847552037741806
11200570,행당2동,17749.84184314854,0.14845886216480722
11200580,응봉동,10357.941359116114,0.06966486849554022
11200590,금호1가동,12885.716053351007,0.09660969326491055
11200615,금호2?3가동,18924.342577408835,0.16097845758140714
11200620,금호4가동,11188.681243708254,0.07852014371857087
11200645,옥수동,26055.656143336215,0.23699472392333576
11200650,성수1가1동,17742.481360325237,0.14838040306782196
11200660,성수1가2동,20981.37162413143,0.1829053671813237
11200670,성수2가1동,18824.888118205035,0.15991832236370335
11200690,성수2가3동,36135.99259324262,0.34444611184904506
11200720,송정동,9744.545998537307,0.06312637812183888
11200790,용답동,17154.496787746364,0.14211277909351588
11215710,화양동,38192.73890466003,0.3663700076308109
11215730,군자동,23728.11911649849,0.2121843333947027
11215740,중곡1동,14810.786963525512,0.1171299945645343
11215750,중곡2동,17820.631846155717,0.1492134484935658
11215760,중곡3동,14068.087216555024,0.10921318355126768
11215770,중곡4동,23750.90903909681,0.21242726266854967
11215780,능동,14928.584124022891,0.11838565388226158
11215810,광장동,35461.631336899,0.3372577552582172
11215820,자양1동,23826.311255128527,0.21323101290104884
