"범죄별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024
"범죄별(1)",합계,일,월,화,수,목,금,토,합계,일,월,화,수,목,금,토,합계,일,월,화,수,목,금,토,합계,일,월,화,수,목,금,토,합계,일,월,화,수,목,금,토
"교통사고처리특례법",184990,19437,28153,28070,27093,27307,29277,25653,155625,16255,22997,23012,23551,23201,24662,21947,76210,8772,10741,10911,11245,11209,12471,10861,71186,7810,10142,10389,10493,10429,11675,10248,68155,7568,9703,9932,9866,10030,11166,9890
"도로교통법",13383,1795,1865,1837,1899,1921,2043,2023,12071,1684,1721,1723,1650,1663,1799,1831,12529,1607,1786,1840,1789,1809,1894,1804,11203,1533,1646,1603,1576,1581,1715,1549,11007,1326,1583,1517,1588,1625,1763,1605
"도로교통법(무면허운전)",21368,2832,3193,3160,3008,3110,3233,2832,18482,2536,2811,2687,2676,2626,2684,2462,18636,2368,2719,2794,2686,2752,2775,2542,20377,2692,3030,2987,2941,2893,3030,2804,25638,3243,3865,3705,3702,3856,3974,3293
"도로교통법(사고후미조치)",11717,1405,1702,1662,1692,1702,1793,1761,8982,1044,1302,1317,1269,1318,1408,1324,7937,1017,1126,1115,1135,1114,1247,1183,7441,999,1003,1099,1020,1035,1156,1129,7034,859,951,1029,1023,1039,1065,1068
"도로교통법(음주운전)",95569,14923,10686,12629,12902,13292,14642,16495,91055,13374,10807,12074,12311,12808,14151,15530,100321,15271,11262,13081,13600,14090,15855,17162,101662,15774,11473,13347,13402,14540,15606,17520,97361,15161,10752,12433,12929,14430,15002,16654
"도로교통법(음주측정거부)",2926,450,338,407,401,433,428,469,3243,475,388,449,462,417,490,562,3923,671,479,478,502,562,519,712,3491,572,392,434,469,511,513,600,3108,540,351,388,400,389,494,546
"마약류관리에관한법률(대마)",1790,218,288,290,264,253,268,209,1682,188,282,246,236,284,258,188,1984,254,305,293,295,302,281,254,2178,261,334,343,331,322,331,256,1741,183,249,235,300,251,280,243
"마약류관리에관한법률(마약)",1899,128,399,303,391,319,274,85,1338,78,312,252,200,221,189,86,2086,139,394,377,310,372,358,136,3764,262,659,599,689,661,602,292,1971,194,309,349,292,348,320,159
"마약류관리에관한법률(향정)",6916,797,1087,1065,1073,1027,1044,823,6039,715,1034,927,893,870,880,720,7752,919,1230,1200,1168,1128,1188,919,11169,1322,1643,1610,1715,1642,1509,1728,9484,1084,1492,1402,1421,1453,1462,1170
"성매매알선등행위의처벌에관한법률",3511,239,641,681,521,669,485,275,3221,488,543,561,429,557,382,261,3750,337,588,651,569,723,512,370,3343,219,580,624,530,771,381,238,3188,205,493,791,468,621,391,219
"아동·청소년의성보호에관한법률(성매수등)",286,38,51,40,33,45,47,32,338,35,53,43,44,57,55,51,326,41,65,55,47,35,33,50,485,77,80,59,61,82,61,65,668,89,113,109,73,98,89,97
"아동·청소년의성보호에관한법률(성착취물등)",2684,436,424,434,505,346,316,223,1672,316,250,228,237,282,209,150,1669,187,324,288,236,245,199,190,1712,226,294,286,290,236,176,204,2394,270,409,430,313,411,304,257
"특가법(도주차량)",9821,1252,1375,1331,1391,1435,1502,1535,8840,1023,1236,1288,1288,1311,1355,1339,8830,1121,1275,1234,1220,1244,1396,1340,8283,978,1127,1136,1209,1237,1366,1230,8009,963,1089,1160,1136,1183,1287,1191
