"가로등 점소등 일련번호","가로등 점소등 날짜(년월일)","서울시 일출시간(시분초)","서울시 일몰시간(시분초)","서울시 실제 소등시간(시분초)","서울시 실제 점등시간(시분초)","소등 편자(분)","점등 편차(분)"
"704","20240121","","","073500","173400","",""
"705","20240120","","","073900","173900","",""
"706","20240119","","","073700","175000","",""
"707","20240118","","","073900","174700","",""
"708","20240116","","","073400","174700","",""
"709","20240115","","","073400","174800","",""
"710","20240114","","","073500","172700","",""
"711","20240113","","","073500","174600","",""
"712","20240112","","","073600","174500","",""
"713","20240111","","","073900","173300","",""
"714","20240110","","","073800","174200","",""
"715","20240109","","","075700","172900","",""
"716","20240108","","","073600","173900","",""
"717","20240107","","","073600","174100","",""
"718","20240106","","","073500","173500","",""
"719","20240105","","","074100","173900","",""
"720","20240102","","","074400","173000","",""
"721","20240101","","","073500","172700","",""
"722","20231231","","","075300","173500","",""
"723","20231230","","","075400","171600","",""
"724","20231229","","","073400","172500","",""
"725","20231227","","","073300","173200","",""
"726","20231226","","","073500","173000","",""
